I,J,p
1,1,65.41
1,2,66.42
1,3,65.66
1,4,64.79
1,5,63.94
1,6,63.31
1,7,59.37
1,8,58.27
1,9,60.24
1,10,60.27
1,11,66.22
1,12,66.38
1,13,64.36
1,14,60.4
1,15,60.33
1,16,59.61
1,17,51.5
1,18,54.56
1,19,53.39
1,20,51.53
1,21,57.43
1,22,57.17
1,23,59.84
1,24,61.76
1,25,60.88
1,26,62.62
1,27,65.28
1,28,62.01
1,29,57.73
1,30,57.08
1,31,88.3
1,32,100.25
1,33,93.62
1,34,131.19
1,35,143.32
1,36,143.62
1,37,122.79
1,38,107.27
1,39,83.66
1,40,66.53
1,41,64.71
1,42,72.38
1,43,63.48
1,44,54.95
1,45,60.54
1,46,59.01
1,47,51.21
1,48,56.84
2,1,66.77
2,2,72.98
2,3,67.56
2,4,66.26
2,5,69.49
2,6,69.56
2,7,60.43
2,8,61.7
2,9,63.02
2,10,63.15
2,11,67.82
2,12,70.23
2,13,64.38
2,14,60.53
2,15,65.61
2,16,66.49
2,17,55.47
2,18,51.21
2,19,51.11
2,20,53.46
2,21,56.98
2,22,55.86
2,23,60.99
2,24,59.06
2,25,56.16
2,26,59.11
2,27,66.46
2,28,62.48
2,29,59.38
2,30,61.78
2,31,96.89
2,32,109.13
2,33,104.64
2,34,140.35
2,35,150.2
2,36,152.36
2,37,134.24
2,38,115.48
2,39,89.56
2,40,73.34
2,41,71.12
2,42,83.15
2,43,64.35
2,44,60.3
2,45,65.92
2,46,60.3
2,47,55.75
2,48,63.15
3,1,69.0
3,2,69.0
3,3,69.0
3,4,69.0
3,5,69.0
3,6,69.0
3,7,69.0
3,8,69.0
3,9,69.0
3,10,69.0
3,11,69.0
3,12,69.0
3,13,69.0
3,14,69.0
3,15,69.0
3,16,69.0
3,17,69.0
3,18,69.0
3,19,69.0
3,20,69.0
3,21,69.0
3,22,69.0
3,23,69.0
3,24,69.0
3,25,69.0
3,26,69.0
3,27,69.0
3,28,69.0
3,29,69.0
3,30,69.0
3,31,69.0
3,32,69.0
3,33,69.0
3,34,69.0
3,35,69.0
3,36,69.0
3,37,69.0
3,38,69.0
3,39,69.0
3,40,69.0
3,41,69.0
3,42,69.0
3,43,69.0
3,44,69.0
3,45,69.0
3,46,69.0
3,47,69.0
3,48,69.0
